price	title	description	link	image_link	id	availability	mpn	product_type
180.00 UAH	Значок Пам'ятки Києва Верховна Рада	Значок пам'ятки києва верховна рада	https://shop.dobroznak.com/katalog/znachki/znachok-pam-yatki-kieva-verkhovna-rada	https://shop.dobroznak.com/components/com_jshopping/files/img_products/IMG_7208.jpg	2825502249	in stock		Значки / Піни в Наявності | Shop.Dobroznak
165.00 UAH	Значок Пам'ятки Києва Золоті Ворота	Значок пам'ятки києва золоті ворота	https://shop.dobroznak.com/katalog/znachki/znachok-dostoprimechatelnosti-kieva-zolotye-vorota	https://shop.dobroznak.com/components/com_jshopping/files/img_products/IMG_7235.jpg	3733765518	in stock	#4944	Значки / Піни в Наявності | Shop.Dobroznak
180.00 UAH	Значок Пам'ятки Києва Нск Олімпійський	Значок пам'ятки києва нск олімпійський	https://shop.dobroznak.com/katalog/znachki/znachok-dostoprimechatelnosti-kieva-nsk-olimpijskij	https://shop.dobroznak.com/components/com_jshopping/files/img_products/IMG_7190.jpg	1682976095	in stock	#5287	Значки / Піни в Наявності | Shop.Dobroznak
180.00 UAH	Значок Пам'ятки Києва Кабінет Міністрів України	Значок пам'ятки києва кабінет міністрів україни	https://shop.dobroznak.com/katalog/znachki/znachok-pam-yatki-kieva-kabinet-ministriv-ukrajini	https://shop.dobroznak.com/components/com_jshopping/files/img_products/IMG_7195.jpg	3352988556	in stock		Значки / Піни в Наявності | Shop.Dobroznak
165.00 UAH	Значок Пам'ятки Києва Кіт На Пейзажній Алеї	Значок пам'ятки києва кіт на пейзажній алеї	https://shop.dobroznak.com/katalog/znachki/znachok-dostoprimechatelnosti-kieva-kot-na-pejzazhnoj-allee	https://shop.dobroznak.com/components/com_jshopping/files/img_products/IMG_7229.jpg	3649715504	in stock	#5421	Значки / Піни в Наявності | Shop.Dobroznak
180.00 UAH	Значок Пам'ятки Києва Залізничний Вокзал	Значок пам'ятки києва залізничний вокзал	https://shop.dobroznak.com/katalog/znachki/znachok-dostoprimechatelnosti-kieva-zhd-vokzal	https://shop.dobroznak.com/components/com_jshopping/files/img_products/IMG_7221.jpg	523217125	in stock	#5058	Значки / Піни в Наявності | Shop.Dobroznak
165.00 UAH	Значок Пам'ятки Києва Пирогове	Значок пам'ятки києва пирогове	https://shop.dobroznak.com/katalog/znachki/znachok-pam-yatki-kieva-pirogove	https://shop.dobroznak.com/components/com_jshopping/files/img_products/IMG_7234.jpg	2637372232	in stock		Значки / Піни в Наявності | Shop.Dobroznak
165.00 UAH	Значок Пам'ятки Києва Монумент Незалежності України	Значок пам'ятки києва монумент незалежності україни	https://shop.dobroznak.com/katalog/znachki/znachok-dostoprimechatelnosti-kieva-monument-nezavisimosti-ukrainy	https://shop.dobroznak.com/components/com_jshopping/files/img_products/IMG_7223.jpg	3756959876	in stock	#5056	Значки / Піни в Наявності | Shop.Dobroznak
180.00 UAH	Значок Пам'ятки Києва Михайлівський Золотоверхий Монастир	Значок пам'ятки києва михайлівський золотоверхий монастир	https://shop.dobroznak.com/katalog/znachki/znachok-pam-yatki-kieva-mikhajlivskij-zolotoverkhij-monastir	https://shop.dobroznak.com/components/com_jshopping/files/img_products/IMG_7255.jpg	476823412	in stock		Значки / Піни в Наявності | Shop.Dobroznak
180.00 UAH	Значок Пам'ятки Києва Музей Історії України	Значок пам'ятки києва музей історії україни	https://shop.dobroznak.com/katalog/znachki/znachok-pam-yatki-kieva-muzej-istoriji-ukrajini	https://shop.dobroznak.com/components/com_jshopping/files/img_products/IMG_7192.jpg	4171370003	in stock		Значки / Піни в Наявності | Shop.Dobroznak
180.00 UAH	Значок Пам'ятки Києва Національний Художній Музей України	Значок пам'ятки києва національний художній музей україни	https://shop.dobroznak.com/katalog/znachki/znachok-pam-yatki-kieva-natsionalnij-khudozhnij-muzej-ukrajini	https://shop.dobroznak.com/components/com_jshopping/files/img_products/IMG_7200.jpg	1595825145	in stock		Значки / Піни в Наявності | Shop.Dobroznak
165.00 UAH	Значок Пам'ятки Києва Замок Річарда - Левове Серце	Значок пам'ятки києва замок річарда - левове серце	https://shop.dobroznak.com/katalog/znachki/znachok-pam-yatki-kieva-zamok-richarda-levove-sertse	https://shop.dobroznak.com/components/com_jshopping/files/img_products/IMG_7248.jpg	1160836984	in stock		Значки / Піни в Наявності | Shop.Dobroznak
180.00 UAH	Значок Пам'ятки Києва Флоровський Монастир	Значок пам'ятки києва флоровський монастир	https://shop.dobroznak.com/katalog/znachki/znachok-dostoprimechatelnosti-kieva-florovskij-monastyr	https://shop.dobroznak.com/components/com_jshopping/files/img_products/IMG_7257.jpg	784429684	in stock		Значки / Піни в Наявності | Shop.Dobroznak
180.00 UAH	Значок Пам'ятки Києва Український Дім	Значок пам'ятки києва український дім	https://shop.dobroznak.com/katalog/znachki/znachok-pam-yatki-kieva-ukrajinskij-dim	https://shop.dobroznak.com/components/com_jshopping/files/img_products/IMG_7193.jpg	3093523567	in stock		Значки / Піни в Наявності | Shop.Dobroznak
165.00 UAH	Значок Пам'ятки Києва Пам'ятник Володимиру Великому	Значок пам'ятки києва пам'ятник володимиру великому	https://shop.dobroznak.com/katalog/znachki/znachok-dostoprimechatelnosti-kieva-pamyatnik-vladimiru-velikomu	https://shop.dobroznak.com/components/com_jshopping/files/img_products/IMG_7212.jpg	266722493	in stock	#5059	Значки / Піни в Наявності | Shop.Dobroznak
165.00 UAH	Значок Пам'ятки Києва Музей Води	Значок пам'ятки києва музей води	https://shop.dobroznak.com/katalog/znachki/znachok-pam-yatki-kieva-muzej-vodi	https://shop.dobroznak.com/components/com_jshopping/files/img_products/IMG_7225.jpg	2691850905	in stock		Значки / Піни в Наявності | Shop.Dobroznak
165.00 UAH	Значок Пам'ятки Києва Києво-Печерська Лавра	Значок пам'ятки києва Києво-Печерська лавра	https://shop.dobroznak.com/katalog/znachki/znachok-pam-yatki-kieva-kievo-pecherska-lavra	https://shop.dobroznak.com/components/com_jshopping/files/img_products/IMG_7227.jpg	2735246216	in stock		Значки / Піни в Наявності | Shop.Dobroznak
180.00 UAH	Значок Визначні Пам'ятки Києва Річковий Вокзал	Значок визначні пам'ятки києва річковий вокзал	https://shop.dobroznak.com/katalog/znachki/znachok-viznachni-pam-yatki-kieva-richkovij-vokzal	https://shop.dobroznak.com/components/com_jshopping/files/img_products/IMG_7191.jpg	3800398739	in stock		Значки / Піни в Наявності | Shop.Dobroznak
180.00 UAH	Значок Визначні Пам'ятки Києва 4й Корпус Кпі	Значок визначні пам'ятки києва 4й корпус кпі	https://shop.dobroznak.com/katalog/znachki/znachok-viznachni-pam-yatki-kieva-4j-korpus-kpi	https://shop.dobroznak.com/components/com_jshopping/files/img_products/IMG_7199.jpg	2008827773	in stock		Значки / Піни в Наявності | Shop.Dobroznak
180.00 UAH	Значок Визначні Пам'ятки Києва Ляльковий Театр	Значок визначні пам'ятки києва ляльковий театр	https://shop.dobroznak.com/katalog/znachki/znachok-viznachni-pam-yatki-kieva-lyalkovij-teatr	https://shop.dobroznak.com/components/com_jshopping/files/img_products/IMG_7218.jpg	3645953651	in stock		Значки / Піни в Наявності | Shop.Dobroznak
165.00 UAH	Значок Визначні Пам'ятки Києва Софійський Собор	Значок визначні пам'ятки києва софійський собор	https://shop.dobroznak.com/katalog/znachki/znachok-viznachni-pam-yatki-kieva-sofijskij-sobor	https://shop.dobroznak.com/components/com_jshopping/files/img_products/IMG_7215.jpg	3395099665	in stock		Значки / Піни в Наявності | Shop.Dobroznak
165.00 UAH	Значок Визначні Пам'ятки Києва Андріївська Церква	Значок визначні пам'ятки києва андріївська церква	https://shop.dobroznak.com/katalog/znachki/znachok-viznachni-pam-yatki-kieva-andrijivska-tserkva	https://shop.dobroznak.com/components/com_jshopping/files/img_products/IMG_7230.jpg	955804598	in stock		Значки / Піни в Наявності | Shop.Dobroznak
180.00 UAH	Значок Визначні Пам'ятки Києва Київська Фортеця	Значок визначні пам'ятки києва київська фортеця	https://shop.dobroznak.com/katalog/znachki/znachok-viznachni-pam-yatki-kieva-kijivska-fortetsya	https://shop.dobroznak.com/components/com_jshopping/files/img_products/IMG_7228.jpg	2661215516	in stock		Значки / Піни в Наявності | Shop.Dobroznak
180.00 UAH	Значок Пам'ятки Києва Будинок з Химерами	Значок пам'ятки києва будинок з химерами	https://shop.dobroznak.com/katalog/znachki/znachok-pam-yatki-kieva-budinok-z-khimerami	https://shop.dobroznak.com/components/com_jshopping/files/img_products/IMG_7196.jpg	778191494	in stock		Значки / Піни в Наявності | Shop.Dobroznak
165.00 UAH	Значок Пам'ятки Києва Костел Св.Миколая	Значок пам'ятки києва костел св.Миколая	https://shop.dobroznak.com/katalog/znachki/znachok-pam-yatki-kieva-kostel-sv-mikolaya	https://shop.dobroznak.com/components/com_jshopping/files/img_products/IMG_7244.jpg	4172809457	in stock		Значки / Піни в Наявності | Shop.Dobroznak
165.00 UAH	Значок Пам'ятки Києва Володимирський Собор	Значок пам'ятки києва володимирський собор	https://shop.dobroznak.com/katalog/znachki/znachok-dostoprimechatelnosti-kieva-vladimirskij-sobor	https://shop.dobroznak.com/components/com_jshopping/files/img_products/IMG_7247.jpg	2054633866	in stock	#4990	Значки / Піни в Наявності | Shop.Dobroznak
180.00 UAH	Значок Пам'ятки Києва Національна Філармонія України	Значок пам'ятки києва національна філармонія україни	https://shop.dobroznak.com/katalog/znachki/znachok-dostoprimechatelnosti-kieva-natsionalnaya-filarmoniya-ukrainy	https://shop.dobroznak.com/components/com_jshopping/files/img_products/IMG_7250.jpg	4056992995	in stock	#5777	Значки / Піни в Наявності | Shop.Dobroznak
