Price	Item title	Item description	Final URL	Image URL	ID	Item Category
1048 UAH	Thalgo Интенсивный Регулирующий Концентрат Thalgo Intence Regulating Concentrate   7 Ампул x 1 2 Ml	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/category_thalgo/intensivnyiy_reguliruyuschiy_kontsentrat_intence_regulating_concentrate	https://healthytrends.com.ua/image/cache/catalog/talgo%28foto%29/photo/thalgo_purete_marine_seboregulirujuschij_koncentrat_intense_regulating_concentrate-458x458.jpg	VT14028	Thalgo
1048 UAH	Thalgo Концентрат мульти-успокаивающий  Thalgo Multi Soothing Concentrate  7 Ампул	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/category_thalgo/multiuspokaivayuschiy_kontsentrat_multi_soothing_concentrate	https://healthytrends.com.ua/image/cache/catalog/talgo%28foto%29/vt15008concentremultiapaisant-compo-458x458.jpg	VT15008	Thalgo
824 UAH	Thalgo Корректор Недостатков Thalgo  Corrector Of Limitations 15ml	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/category_thalgo/korrektor_nedostatkov_corrector_of_limitations	https://healthytrends.com.ua/image/cache/catalog/talgo%28foto%29/vt14029purete-marine---correcteur-imperfections-458x458.png	VT14029	Thalgo
1850 UAH	Thalgo Корректор Пигментных Пятен Thalgo Targeted Dark Spot Corrector  15ml	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/beauty/korrektor_pigmentnyih_pyaten_targeted_dark_spot_corrector	https://healthytrends.com.ua/image/cache/catalog/talgo%28foto%29/vt18019correcteurlocaltaches-tubecanule15ml-458x458.jpg	VT18019	Beauty
3542 UAH	Thalgo Крем Восстанавливающий Плотность Кожи  Thalgo Redensifying Cream  50ml	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/category_thalgo/krem_vosstanavlivayuschiy_plotnost_kozhi_redensifying_cream	https://healthytrends.com.ua/image/cache/catalog/talgo%28foto%29/vt18001cremeredensifiante-pot50ml-458x458.jpg	VT18001	Thalgo
5243 UAH	Thalgo Крем Сокровище Океанов Thalgo Prodige Des Oceans Cream  50ml	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/category_thalgo/krem_morskoy_intellekt_prodige_des_oceans_cream	https://healthytrends.com.ua/image/cache/catalog/talgo%28foto%29/vt16012lacremeprodige-458x458.jpg	VT16012	Thalgo
1177 UAH	Thalgo Крем-маска Восстанавливающая  Thalgo Sun Repair Cream-Mask  50ml	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/category_thalgo/vosstanavlivayuschaya_kremmaska_dlya_litsa_posle_insolyatsii_sun_repair_creammask	https://healthytrends.com.ua/image/cache/catalog/talgo%28foto%29/vt15036crememasquereparatriceas-tube50mld30x110-458x458.png	VT15036	Thalgo
3293 UAH	Thalgo Лифтинговая Сыворотка Thalgo Lifting Correcting Serum  30ml	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/category_thalgo/kremnievaya_syivorotka_dlya_intensivnogo_liftinga_lifting_correcting_serum	https://healthytrends.com.ua/image/cache/catalog/talgo%28foto%29/vt16025serum-liftant-rides-458x458.png	VT16025	Thalgo
2320 UAH	Thalgo Лифтинговый Крем Для Век  Thalgo Eyelid Lifting Cream  15ml	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/category_thalgo/liftingovyiy_krem_dlya_vek_eyelid_lifting_cream	https://healthytrends.com.ua/image/cache/catalog/talgo%28foto%29/vt18004soinliftpaupieres-pot15ml-458x458.jpg	VT18004	Thalgo
1880 UAH	Thalgo Лифтинговый Крем Для Контура Глаз  Thalgo  Lifting Correcting Eye Cream  15ml	Магазин профессиональной косметики и тейпов	https://healthytrends.com.ua/category_thalgo/kremnievyiy_krem_dlya_kontura_glaz_liftingovyiy_lifting_correcting_eye_cream	https://healthytrends.com.ua/image/cache/catalog/talgo%28foto%29/vt16022creme-correction-lift-regard-458x458.png	VT16022	Thalgo
