Код,"Альтернативный код",Бренд,Наименование,Применение,"Цена закупки","Цена продажи",Количество,Склад,"Локальный склад?","Фото детали"
971132Y000,D316NE9AA01P/D316NE9AA02P/F00S3B2441,HCC,"Двигун обігрівача з крильчаткою","IX35 13~",0,1161,1,"Кременчуг - 1",1,
0450000400,"ATF SPIII/ATFSP3/ATFSPIII/EX0450000400/MZ320015/MZ320101/450000400",KIA-HYUNDAI,"МАСЛО ATF SP-III (4л)","HYUNDAI KIA",0,702,11,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/0450000400-hyundai-03.jpg
230602A923,230602A922,KIA-HYUNDAI,"Вкладиші шатунні (STD-C) 1 шийка","Cerato 1,6TCI Accent Rio i20 i30 Matrix",0,225,2,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/230602a923-hyundai-01.jpg
826202F000GW,,TOPIC,"Ручка двери передней правой внутренняя","Cerato 04-06",0,297,4,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/826202f000gw-topic-02.jpg
3918027000,0600068SX/KM0900276/KM0900276RBLT/Z09SENRE00667,TOPIC,"Датчик положения коленвала","Santa Fe 2.0L TCI Carens",0,396,1,"Кременчуг - 1",1,
314012F000,X314002F000,KIA-HYUNDAI,"Датчик давления топлива","Santa Fe 10~ Diz  IX35 10~ Sorento 10~ Sportage",0,5580,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/314012f000-hyundai-02.jpg
8762002302,8762002/8762002103/8762002300/8762002301/8762002303,KIA-HYUNDAI,"Зеркало правое",Atos,0,1035,1,"Кременчуг - 1",1,
582443A000,5824438300/5824638300,KIA-HYUNDAI,"Пластина колодок тормозных","Trajet Santa Fe Sonata NF Grandeur",0,24,104,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/582443a000-kia-hyundai-03.jpg
GT20120,0K01612700/0K01612700A/0K1612700/0R20112700A/13070HC351/72120HSC/GT370.12/GT80450/K08BRGTM00151/KM0800067/R20112700A/R20112700B/T41266/531011720,GMB,"Ролик натяжения ремня ГРМ","Besta 2.2D Sportage 2.2D Mazda Nissan",0,252,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/gt20120-gmb-02.jpg
KKY0146062,0B00146062/MB00146062/MGK6746062,KIA-HYUNDAI,"Втулка  кулисы","Sephia Shuma Cerato Avella",0,16,14,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/kky0146062-kia-hyundai-02.jpg
819962L001,819961W010/819962L000/819962L001FFF,KIA-HYUNDAI,"Ключ-заготовка (лезвие)","i30 08~ IX35 Ceed Picanto Sportage",0,131,8,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/819962l001-kia-hyundai-02.jpg
KM0701169,0K01134156/0K01134156A/0K01834156A/0K01V34156/0K01V34156A/ADG080194/CRK015/DCC010652/GBUK046/K07BSHSD02841/KBUK046/KM0701167,TOPIC,"Втулкa стабілізатора переднього","Pregio Sportage",0,16,4,"Кременчуг - 1",1,
0S2722,,OSRAM,"Лампа накаливания, ""ORIGINAL LINE W2W""","12В 2Вт",0,19,10,"Кременчуг - 1",1,
0K9A050649D,0K9A050649С,KIA-HYUNDAI,"Клипса молдинга двери",Clarus,0,32,7,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/0k9a050649d-kia-hyundai-01.jpg
KG0900021OE,24.07115348.3/A54200/ADG07161/GBS2155/I13329258/SS20251/VSABS0550/1247004/12842463/13329258/13470637,TOPIC,"Датчик ABS передний правый","Cruz 09~ Orlando",0,342,1,"Кременчуг - 1",1,
2538017610,B100DE4AA01P,KIA-HYUNDAI,"Диффузор радиатора в сборе","Matrix 04~ TCI",0,2529,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/2538017610-hyundai-03.jpg
0K60A34156,ADG080239/K07BSHSD02812/KM0701466/91941526,"OEM KOREA","Втулкa стабилизатора переднего","K2700 K2700II K3000 K3000II",0,23,4,"Кременчуг - 1",1,
552254A000,CBH050/CVKH146/EG552254A000/GBUH093/KBUH093/PXCBA036RU/222017,ONNURI,"Сайлентблок заднего продольного рычага",H-1,0,99,2,"Кременчуг - 1",1,
971132Y000,D316NE9AA01P/D316NE9AA02P/F00S3B2441,HCC_,"Двигун обігрівача з крильчаткою","IX35 13~",0,1035,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/971132y000-hcc_-05.jpg
PMC006,AC9203/ADG02505/AF5049/AF5049A/AS606/AS606C/B40004/B40004PR/BPRADG02505/CAC65190/CU2330/CU2330 /E2981LI/ECF00045M/IPCAD006/IPCAD006C/J1340906/K1178/KCF7121C/KG0200031/LA361/PR15212104/QC1104/QC1104C/SFKF9522/SMCFG007E/TSP0325209/WP9254/96435888/96449577/96539649/96830504/96962173,PMC,"Фильтр салона","Aveo I-III",0,117,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/pmc006-pmc-02.jpg
KM0400263NA,GGXH028/P1JA011/2561426002/2561426100,TOPIC-NA,"Прокладка корпуса термостата",Univ,0,14,1,"Кременчуг - 1",1,
3381052000,,KIA-HYUNDAI,"Крепление форсунки",HD,0,266,4,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/3381052000-hyundai-01.jpg
2811307100,2811307100PM/A2516/A2933/ADG02254/AP1827/B20317PR/C2617/E687L/EAF00089M/F026400060/GFAK010/IPAK031/J1320316/K02AIRSD00171/KFAK010/KM0200013/LFAF182/LX2865/MAF028/PAB054/QA0617/S2811307100/SB2231/WA9506/1457433772/3618600709/28123210000,TOPIC,"Фільтр повітряний",UNIV,0,77,2,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/2811307100-topic-02.jpg
3738042001,EM9763A/GNDM501A/GNDM501C/KM0900195RBLT/PXPCA005/139763/3730042621/3738042000,F.Y.C.,"Диодный мост",H100,0,405,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/3738042001-f.y.c.-04.jpg
90384111,,"GENERAL MOTORS","Клипса крепления обшивки двери","Nexia 95~",0,14,20,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/90384111-general-motors-03.jpg
2744037200,,"OEM KOREA","Провод высоковольтный (свечи 3-го цилиндра)","Tucson 2,7L 04~ Sortage 2,7L 04~",0,135,2,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/2744037200-oem-korea-02.jpg
0K04533242,,KIA-HYUNDAI,"Пыльник поршня переднего суппорта","Sportage 98-04",0,77,8,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/0k04533242-kia-hyundai-01.jpg
2921537270,01117600/KM0400371NA/P1LA036,KIA-HYUNDAI,"Прокладка впускного коллектора","Tucson 2,7i",0,86,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/2921537270-hyundai-01.jpg
971243K000,D332DC4AA01P,HCC,"Привод заслонки отопителя",Sonata,0,441,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/971243k000-hcc-03.jpg
826102D000CA,,TOPIC,"Ручка передней левой двери внутренняя","Elantra 00-05",0,207,3,"Кременчуг - 1",1,
2304042912,,"BIG TORQUE","Кільця поршневі (0.25)","H-100 93~",0,1125,1,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/2304042912-big-torque-02.jpg
0K55232125,CPK002/GZBK107/I60300PC/TS0K55232125,KIA-HYUNDAI,"Пыльник рулевой рейки","Sorento 02-11 Pregio K3600",0,126,2,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/0k55232125-kia-02.jpg
