Item title	Item description	Final URL	Image URL	ID	Item Category
Sonoscape S8 Exp	Купить аппарат УЗИ SonoScape S8 Exp в Украине	https://sonoscape.in.ua/product/portativnyj-tsvetnoj-apparat-uzi-sonoscape-s8exp/	https://sonoscape.in.ua/wp-content/uploads/2020/05/S8Exp-b-e1589814170825.jpg	2598305749	Портативные ультразвуковые системы
Sonoscape S9	Купить аппарат УЗИ SonoScape S9 в Украине	https://sonoscape.in.ua/product/sonoscape-s9-portativnyj-tsvetnoj-ultrazvukovoj-diagnosticheskij-skaner-novogo-pokoleniya/	https://sonoscape.in.ua/wp-content/uploads/2020/05/Sonoscape_S9-b-e1589811975159.jpg	255795248	Портативные ультразвуковые системы
Sonoscape Е3 Ехр	Купить аппарат УЗИ SonoScape Е3 Ехр в Украине	https://sonoscape.in.ua/product/sonoscape-e3-kachestvo-komfort-i-proizvoditelnost/	https://sonoscape.in.ua/wp-content/uploads/2020/05/sonoscape-e2-2b-600x593-2-e1589812164839.jpg	2248105747	Стационарные ультразвуковые системы
Sonoscape E1 Exp	Купить аппарат УЗИ SonoScape E2 exp в Украине	https://sonoscape.in.ua/product/sonoscape-e2-exp/	https://sonoscape.in.ua/wp-content/uploads/2020/05/SonoScape-E2b-e1592463986208-1.jpg	4162371019	Портативные ультразвуковые системы
Sonoscape Е1	Купить аппарат УЗИ SonoScape E1 в Украине	https://sonoscape.in.ua/product/portativnyj-ultrazvukovoj-skaner-sonoscape-e1/	https://sonoscape.in.ua/wp-content/uploads/2020/05/SonoScape-E1b-e1589810845757.jpg	3692311823	Портативные ультразвуковые системы
Sonoscape S2V	Купить аппарат УЗИ SonoScape S2V в Украине	https://sonoscape.in.ua/product/uzi-apparat-sonoscape-s2v/	https://sonoscape.in.ua/wp-content/uploads/2020/05/Sonoscape_S2_1-1-e1592550940149.jpg	2540744124	Ветеринарные ультразвуковые системы
Sonoscape S6V	Купить аппарат УЗИ SonoScape S6V в Украине	https://sonoscape.in.ua/product/uzi-apparat-sonoscape-s6v/	https://sonoscape.in.ua/wp-content/uploads/2020/05/sonoscape_S6_vet-b-e1592550843467.jpg	3818947546	Ветеринарные ультразвуковые системы
Sonoscape E1V	Купить аппарат УЗИ SonoScape E1V в Украине	https://sonoscape.in.ua/product/apparat-uzi-sonoscape-e1/	https://sonoscape.in.ua/wp-content/uploads/2020/05/SonoScape-E1b-e1589810845757.jpg	785838945	Ветеринарные ультразвуковые системы
Sonoscape Х3V	Идеальное клиническое решение в сфере ветеринарной медицины	https://sonoscape.in.ua/product/sonoscape-h3v/	https://sonoscape.in.ua/wp-content/uploads/2021/04/1-1.png	2593169776	Ветеринарные ультразвуковые системы
Датчики Для Цветных Аппартов Узи	Датчики для цветных аппартов УЗИ	https://sonoscape.in.ua/product/datchiki-dlya-tsvetnyh-appartov-uzi/	https://sonoscape.in.ua/wp-content/uploads/2020/06/datchiki1-b-e1592553347449.jpg	1412671842	Датчики
Датчики Для черно-белых Аппаратов Узи	Датчики для черно-белых аппаратов УЗИ	https://sonoscape.in.ua/product/datchiki-dlya-cherno-belyh-apparatov-uzi/	https://sonoscape.in.ua/wp-content/uploads/2020/06/datchiki_Sonoscape_bw-e1592552764549.jpg	3929072923	Датчики
Трансвагинальный     WI-FI Датчик	Удобное решение для акушерства и гинекологии	https://sonoscape.in.ua/product/transvaginalnyj-wi-fi-datchik/	https://sonoscape.in.ua/wp-content/uploads/2021/01/Screenshot-2020-12-20-at-11.49.07-e1609747340240.png	559432807	Ультразвуковые Wi-Fi датчики
КОНВЕКСНО-ЛИНЕЙНЫЙ Беспроводной WI-Fi Датчик	Беспроводной двойной (конвексный + линейный) УЗИ WI-FI датчик с цветным допплером	https://sonoscape.in.ua/product/konveksno-linijnij-bezdrotovij-wi-fi-datchik/	https://sonoscape.in.ua/wp-content/uploads/2021/01/Screenshot-2020-12-22-at-11.12.41-1-e1609752261828.png	3301324969	Ультразвуковые Wi-Fi датчики
Микроконвексный WI-FI Датчик	Усовершенствованная технология цифровой обработки изображений	https://sonoscape.in.ua/product/mikrokonveksnyj-wi-fi-datchik/	https://sonoscape.in.ua/wp-content/uploads/2021/01/Screenshot-2021-01-09-at-12.14.06-e1610187336563.png	3694575099	Ультразвуковые Wi-Fi датчики
Линейный Беспроводной WI-FI Датчик	Портативный датчик с беспроводным интерфейсом, который соединил в себе все основные возможности стационарного аппарата.	https://sonoscape.in.ua/product/linejnyj-besprovodnoj-wi-fi-datchik/	https://sonoscape.in.ua/wp-content/uploads/2021/01/1-1ZQ21Q054-2-e1609748668661.jpg	2819198728	Ультразвуковые Wi-Fi датчики
Конвексный Беспроводной WI-FI Датчик	Точный медицинский инструмент, который соединил в себе все основные возможности стационарного аппарата	https://sonoscape.in.ua/product/konveksnyj-besprovodnoj-wi-fi-datchik/	https://sonoscape.in.ua/wp-content/uploads/2021/01/Screenshot-2021-01-04-at-11.39.07-e1609753742839.png	402324827	Ультразвуковые Wi-Fi датчики
Ультразвуковой Видеогастроскоп EG-UR5 с Радиальной Сеткой 360° (Радиальный Эхо — Эндоскоп  Sonoscape EG-UR5)	Реализован на основе ультразвуковой системы S60	https://sonoscape.in.ua/product/ultrazvukovoj-videogastroskop-eg-ur5-s-radialnoj-setkoj-360-radialnyj-eho-endoskop-sonoscape-eg-ur5/	https://sonoscape.in.ua/wp-content/uploads/2021/03/Screenshot-2021-03-06-at-15.08.02.png	4138058554	Видеоэндоскопические системы
Видеоэндоскопическая Система Sonoscape HD-320	Простая в эксплуатации и надежная система	https://sonoscape.in.ua/product/videoendoskopicheskaya-sistema-sonoscape-hd-320/	https://sonoscape.in.ua/wp-content/uploads/2020/05/330-b-e1589813839319.jpg	2169143656	Видеоэндоскопические системы
Видеоэндоскопическая Система Sonoscape HD-350	Функция Smart Workflow	https://sonoscape.in.ua/product/videoendoskopicheskaya-sistema-sonoscape-hd-350/	https://sonoscape.in.ua/wp-content/uploads/2020/06/HD-350_stojka_s_izobrazheniem_organov_1-e1592554325154.jpg	2703998398	Видеоэндоскопические системы
Видеоэндоскопическая Система Sonoscape HD-400	Высокое качество изображения	https://sonoscape.in.ua/product/videoendoskopicheskaya-sistema-sonoscape-hd-400/	https://sonoscape.in.ua/wp-content/uploads/2020/12/Screenshot-2020-12-26-at-13.41.51-e1608994344528.png	225358466	Видеоэндоскопические системы
Видеоэндоскопическая Система Sonoscape HD-500	Мегапиксельная СМOS матрица	https://sonoscape.in.ua/product/videoendoskopicheskaya-sistema-sonoscape-hd-500/	https://sonoscape.in.ua/wp-content/uploads/2020/05/330-b-e1589813839319.jpg	2000284134	Видеоэндоскопические системы
Видеоэндоскопическая Система Sonoscape HD-550	Sonoscape HD-550	https://sonoscape.in.ua/product/videoendoskopicheskaya-sistema-sonoscape-hd-550/	https://sonoscape.in.ua/wp-content/uploads/2020/12/Bez-imeni-1-1-e1607288432478.jpg	3756078533	Видеоэндоскопические системы
Видеогастроскоп EG-330	Совместим с системой SonoScape HD-350	https://sonoscape.in.ua/product/videogastroskop-eg-330/	https://sonoscape.in.ua/wp-content/uploads/2020/05/image6-e1589813675386.jpg	2126242557	Гастроскопы
Видеогастроскоп EG-430	Совместим с системой SonoScape HD-400	https://sonoscape.in.ua/product/videogastroskop-eg-430/	https://sonoscape.in.ua/wp-content/uploads/2020/05/image6-e1589813675386.jpg	4133860618	Гастроскопы
Видеогастроскоп EG-500	Совместим с системой SonoScape HD-500	https://sonoscape.in.ua/product/videogastroskop-eg-500/	https://sonoscape.in.ua/wp-content/uploads/2020/05/image6-e1589813675386.jpg	2646214774	Гастроскопы
Видеоколоноскоп Серии EC-430	Совместим с системой SonoScape HD-400	https://sonoscape.in.ua/product/videokolonoskop-serii-ec-430/	https://sonoscape.in.ua/wp-content/uploads/2020/06/image6-1-e1592560131598.jpg	632358852	Колоноскопы
Видеоколоноскоп Ec -330	Совместим с системой SonoScape HD-350	https://sonoscape.in.ua/product/videokolonoskop-serii-ec-330/	https://sonoscape.in.ua/wp-content/uploads/2020/06/image6-1-1-e1592560382314.jpg	2797108322	Колоноскопы
Видеоколоноскоп Серии Ec -500	Совместим с системой SonoScape HD-500	https://sonoscape.in.ua/product/videokolonoskop-serii-ec-500/	https://sonoscape.in.ua/wp-content/uploads/2020/06/image6-e1592556411161.jpg	2947627872	Колоноскопы
Видеобронхоскоп EB-500 Sonoscape	Используется в комплекте с эндоскопической системой HD-500 SonoScape.	https://sonoscape.in.ua/product/videobronhoskop-eb-500-sonoscape/	https://sonoscape.in.ua/wp-content/uploads/2020/06/EB-500-e1592561357670.jpg	1932214362	Бронхоскопы
