Код,"Альтернативный код",Бренд,Наименование,Применение,"Цена закупки","Цена продажи",Количество,Склад,"Локальный склад?","Фото детали"
07015547B,131860/210940/07015547,CORTECO,"Сальник первичного вала кпп","CITROEN,FIAT,LANCIA,PEUGEOT,TOYOTA",0,90,2,"Кременчуг - 1",1,https://kiaparts.com.ua/storage/detal_photo/07015547b-corteco-02.jpg
07015547B,131860/210940/07015547,CORTECO,"Сальник первичного вала кпп","CITROEN,FIAT,LANCIA,PEUGEOT,TOYOTA",0,104,1,"Склад - 6",0,https://kiaparts.com.ua/storage/detal_photo/07015547b-corteco-02.jpg
07015547B,131860/210940/07015547,CORTECO,"Сальник первичного вала кпп","CITROEN,FIAT,LANCIA,PEUGEOT,TOYOTA",0,98,10,"Склад - 26",0,https://kiaparts.com.ua/storage/detal_photo/07015547b-corteco-02.jpg
